"CustomerID","FirstName","LastName","Email","Address","City","State","Phone","Birthday","FavoriteDish"
1,"Maggi","Domney","mdomney0@wisdompets.com","53177 Fieldstone Pass","San Bernardino","CA","760-702-5469","1938-10-11",15
2,"Javier","Dawks","jdawks1@red30design.com","25629 Brown Trail","Hartford","CT","860-906-1459","1953-11-21",13
3,"Aleen","Fasey","afasey2@kinetecoinc.com","41967 Mockingbird Court","Boca Raton","FL","561-410-2222","1900-08-10",3
4,"Taylor","Jenkins","tjenkins@rouxacademy.org","968 Bartillon Park","Fort Lauderdale","FL","954-294-7424","1961-05-02",8
5,"Imogen","Kabsch","ikabsch@landonhotel.com","222 Hudson Point","Anderson","SC","864-326-7456","1919-08-27",17
6,"Dunc","Winny","dwinny5@kinetecoinc.com","6 Derek Avenue","Columbus","GA","706-389-4923","1919-07-19",11
7,"Cammi","Kynett","ckynett6@orangevalleycaa.org","237 Homewood Hill","Washington","DC","202-798-6252","1927-03-06",5
8,"Steffie","Kleis","skleis7@wisdompets.com","360 Little Fleur Park","Evansville","IN","812-301-6915","1957-12-27",8
9,"Carilyn","Calver","ccalver8@samoca.org","3664 Emmet Circle","Dulles","VA","571-718-5931","1960-12-17",12
10,"Barbara-anne","Sweet","bsweet9@samoca.org","257 Mallory Drive","San Antonio","TX","210-776-2859","1911-04-01",5
11,"Faina","Nelles","fnellesa@red30design.com","1143 Nevada Plaza","Reading","PA","484-145-8882","1967-03-06",10
12,"Orton","Stavers","ostaversb@orangevalleycaa.org","5 Pankratz Junction","Vienna","VA","571-414-2322","1910-07-20",22
13,"Jobina","McKern","jmckernc@rouxacademy.org","28 Dovetail Circle","San Mateo","CA","805-540-9168","1923-01-19",9
14,"Paco","Yarranton","pyarrantond@rouxacademy.org","1 Lighthouse Bay Hill","Columbus","OH","614-173-1770","1977-05-08",2
15,"Chance","Todeo","ctodeoe@wisdompets.com","2 Debra Trail","Dallas","TX","214-351-1058","1924-08-13",16
16,"Carla","Swinfen","cswinfenf@kinetecoinc.com","949 Northview Junction","South Bend","IN","574-883-7972","1989-05-24",10
17,"Lani","Over","loverg@wisdompets.com","8 Roxbury Point","Colorado Springs","CO","719-792-4724","1938-08-02",20
18,"Anthe","Dinjes","adinjesh@samoca.org","4 American Road","Washington","DC","202-164-5786","1903-12-29",3
19,"Amby","Harber","aharberi@hplussport.com","2985 Pearson Circle","Durham","NC","919-557-3321","1925-06-21",9
20,"Jacinta","Vallis","jvallisj@kinetecoinc.com","9 Anzinger Lane","Bakersfield","CA","661-103-5365","1994-12-10",10
21,"Henri","Pughe","hpughek@orangevalleycaa.org","53 Blue Bill Park Point","Manassas","VA","434-339-5926","1955-01-12",22
22,"Cassandre","Wragg","cwraggl@landonhotel.com","92285 Cascade Center","Washington","DC","703-646-1738","1960-05-01",20
23,"Amory","Bunyard","abunyardm@samoca.org","9951 Buena Vista Point","Topeka","KS","785-691-3913","1919-01-15",14
24,"Carny","Scamp","cscampn@wisdompets.com","9 Valley Edge Road","New York City","NY","212-198-3815","1911-02-01",14
25,"Paulie","Kinvig","pkinvigo@hplussport.com","564 Ryan Park","Philadelphia","PA","215-647-3796","1958-08-12",10
26,"Taylor","Jenkins","tjenkins@redt30design.com","27170 6th Center","Washington","DC","202-765-8011","1922-05-05",12
27,"Yves","Dell'Abbate","ydellabbateq@rouxacademy.org","68966 High Crossing Junction","Richmond","VA","804-689-9010","1902-12-23",8
28,"Culley","Cawood","ccawoodr@samoca.org","536 Darwin Trail","Washington","DC","202-959-7069","1933-03-05",12
29,"Herby","Aspinal","haspinals@red30design.com","7 Maple Center","Sacramento","CA","916-942-8188","1934-03-28",2
